season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Spring 2012,CR-Fitchburg,Fitchburg Line,454,1,day_type_01,weekday,1/1/2012 14:21,Porter Square,17,13,62,113,47
Spring 2012,CR-Fitchburg,Fitchburg Line,454,1,day_type_01,weekday,1/1/2012 14:32,North Station,18,0,113,0,48
Spring 2012,CR-Fitchburg,Fitchburg Line,456,1,day_type_01,weekday,1/1/2012 14:25,South Acton,6,23,0,23,49
Spring 2012,CR-Fitchburg,Fitchburg Line,456,1,day_type_01,weekday,1/1/2012 14:30,West Concord,7,20,0,43,50
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:02,Concord,8,32,1,255,51
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:08,Lincoln,9,19,0,274,52
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:12,Hastings,11,4,0,278,53
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:14,Kendal Green,12,23,1,300,54
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:17,Brandeis/Roberts,13,6,0,306,55
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:22,Waltham,14,21,1,326,56
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:27,Waverley,15,9,0,335,57
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:30,Belmont,16,5,0,340,58
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:36,Porter Square,17,3,120,223,59
Spring 2012,CR-Fitchburg,Fitchburg Line,404,1,day_type_01,weekday,1/1/2012 11:47,North Station,18,0,223,0,60
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:00,Fitchburg,1,27,0,27,61
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:07,North Leominster,2,20,0,47,62
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:15,Shirley,3,21,0,68,63
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:21,Ayer,4,35,3,100,64
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:32,Littleton/Rte 495,5,24,0,124,65
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:38,South Acton,6,110,0,234,66
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:43,West Concord,7,40,2,272,67
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:49,Concord,8,50,1,321,68
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:55,Lincoln,9,41,0,362,69
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 11:58,Silver Hill,10,2,0,364,70
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:00,Hastings,11,12,0,376,71
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:02,Kendal Green,12,31,0,407,72
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:06,Brandeis/Roberts,13,21,4,424,73
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:10,Waltham,14,57,6,475,74
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:15,Waverley,15,25,2,498,75
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:17,Belmont,16,18,4,512,76
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:23,Porter Square,17,17,243,286,77
Spring 2012,CR-Fitchburg,Fitchburg Line,406,1,day_type_01,weekday,1/1/2012 12:34,North Station,18,0,286,0,78
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 11:30,Fitchburg,1,56,0,56,79
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 11:37,North Leominster,2,64,0,120,80
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 11:44,Shirley,3,49,4,165,81
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 11:51,Ayer,4,93,2,256,82
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 12:00,Littleton/Rte 495,5,75,0,331,83
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 12:08,South Acton,6,197,0,528,84
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 12:40,Porter Square,17,42,291,279,85
Spring 2012,CR-Fitchburg,Fitchburg Line,408,1,day_type_01,weekday,1/1/2012 12:50,North Station,18,0,279,0,86
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 11:55,Fitchburg,1,49,0,49,87
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:02,North Leominster,2,43,0,92,88
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:09,Shirley,3,23,0,115,89
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:15,Ayer,4,41,3,153,90
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:24,Littleton/Rte 495,5,33,0,186,91
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:32,South Acton,6,91,1,276,92
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:37,West Concord,7,69,1,344,93
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:44,Concord,8,106,7,443,94
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 12:50,Lincoln,9,53,2,494,95
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 13:00,Waltham,14,96,8,582,96
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 13:11,Porter Square,17,61,232,411,97
Spring 2012,CR-Fitchburg,Fitchburg Line,410,1,day_type_01,weekday,1/1/2012 13:22,North Station,18,0,411,0,98
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 12:20,Fitchburg,1,45,0,45,99
Spring 2012,CR-Fitchburg,Fitchburg Line,412,1,day_type_01,weekday,1/1/2012 12:27,North Leominster,2,23,0,68,100
Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,1/1/2012 11:35,Readville,4,11,0,11,101
Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,1/1/2012 11:38,Fairmount,5,19,0,30,102
Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,1/1/2012 11:42,Morton Street,6,8,0,38,103
Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,1/1/2012 11:49,Uphams Corner,7,7,1,44,104
Spring 2012,CR-Fairmount,Fairmount Line,744,1,day_type_01,weekday,1/1/2012 12:02,South Station,8,0,44,0,105
Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,1/1/2012 12:15,Readville,4,33,0,33,106
Spring 2012,CR-Fairmount,Fairmount Line,746,1,day_type_01,weekday,1/1/2012 12:18,Fairmount,5,22,0,55,107
